"ID","Description","RootCause","Fix","AntiPattern","Phase","DateFixed"
"BUG-068","Balance columns stored as EOP but declared Incremental -- identity Sum(Paid)+Sum(CaseRsv)+Sum(IBNR)=Sum(Ult) broken","WriteOutputs wrote Balance columns (CaseRsv, IBNR, Unpaid, OpenCt, IBNRCt, UnclosedCt) as end-of-period balances but column_registry FieldClass=Incremental. Sum of incremental paid + EOP reserves != ultimate. Identity only holds when all values are true incremental.","Converted all Balance columns to true incremental (change-in-EOP = EOP(cm)-EOP(cm-1)). Added tail closure row per program that forces ITD reserves=0, paid=ultimate, counts closed. Split AggregateToQuarterly into Ins_QuarterlyAgg.bas (AD-09). Added Inc() DRY helper. QuarterlySummary SUMIFS uses <=lastMon to reconstruct EOP from incremental.","AP-42","Phase 11A","2026-03-26"
"BUG-069","E-120 errors: Attributes.EntityName and Model Identity.ScenarioName not found in insurance config","config_insurance/input_schema.csv was missing Attributes.EntityName (row 3, used by KernelOutput, KernelTabs, KernelProveIt for entity name lookup) and Model Identity.ScenarioName (row 7, used by Ins_GranularCSV for CSV filename). InsuranceDomainEngine.Initialize writes entity names to row 3 but InputValue could not resolve the row because the parameter was not in the schema.","Added Attributes.EntityName (row 3) and Model Identity.ScenarioName (row 7) to config_insurance/input_schema.csv. InputValue can now resolve both parameters to the correct Assumptions tab rows.","AP-45","Phase 11B","2026-03-29"
"BUG-070","W-811 warnings: QS_N_UNPAID_TOTAL and QS_N_ULT_TOTAL not found on QuarterlySummary","KernelFormula.ResolveRowID capped its search at 500 rows. With 30 Incremental + 18 Derived metric sections at 12-13 rows each (10 entities per section), the QuarterlySummary tab has ~600 rows. N_Unpaid total lands at ~row 505 and N_Ult at ~row 518, both past the cap.","Increased ResolveRowID row cap from 500 to 2000 (matching FindRowIDInSheet in Ins_QuarterlyAgg.bas).","","Phase 11B","2026-03-29"
"BUG-071","Safe Mode prompt on next Excel launch after Setup","Bootstrap kills Excel via Stop-Process -Force to protect XLSTART/Personal.xlsb (BUG-045). Excel writes a crash sentinel to HKCU Resiliency\StartupItems on launch and removes it on graceful exit. Process kill leaves the sentinel, so the next normal Excel launch detects it and offers Safe Mode.","Added StartupItems cleanup to the Bootstrap.ps1 finally block: after killing the process, remove all entries under Resiliency\StartupItems for Office 16.0 and 15.0. Follows the same pattern as DocumentRecovery cleanup (BUG-047).","AP-54","Phase 11B","2026-03-29"
"BUG-072","Negative Net Earned Premium in Q1 Y1 -- XOL premium added to QS ceded premium","InsuranceDomainEngine.WriteOutputs added xolMon (monthly XOL cost $58,333) to C_WP and C_EP: outputs(row,cCWP)=gWP*cedePct+xolMon. XOL is non-proportional reinsurance and should not be part of quota-share ceded premium. In month 1, GEP~$69K but CEP~$79K (including XOL), making NEP negative.","Removed + xolMon from C_WP and C_EP lines in WriteOutputs. Ceded premium is now purely proportional (gWP*cedePct / gEP*cedePct). XOL data remains in engine arrays (m_xolCat, m_xolOther) for future use.","","Phase 11B","2026-03-29"
"BUG-073","Capital Activity header in wrong row and Amount Raised shows as header text","Header row scanner in KernelFormula only scanned for Formula cellType when finding the first quarterly data row. Capital Activity has Input cells with Col=C (CAP_EQ_AMT at row 6) before the first Formula (CAP_EQ_CUMUL at row 7). Scanner found row 7, placed headers at row 6, overwriting the Amount Raised Input values with quarterly header labels. Also, quarterly Input cells were not replicated across quarterly columns.","Extended header row scanner to include Input cells with non-numeric Col (quarterly Input cells). Added quarterly Input replication: Input cells with Col=C on quarterly tabs now replicate defaults across all quarterly columns with format and font color, matching Formula cell replication pattern.","","Phase 11B","2026-03-29"
"BUG-074","Snapshot save crashes -- multiple robustness issues in KernelSnapshot","Six issues: (1) GetProjectRoot crashes on unsaved workbook (InStrRev returns 0, Left(path,-1) error). (2) ActiveWorkbook.PrecisionAsDisplayed in BuildExecutionFingerprint violates AP-04. (3) No column count/headers in manifest -- cannot validate on load after config changes. (4) ImportDetailFromCsv uses current config column count, silently truncating snapshot data if column count changed. (5) Export subs (Detail, Inputs, ErrorLog, Settings) have no error handling -- file handles leak on error. (6) EnsureDirectoryExists has no error handling for MkDir failures.","(1) Added guards in GetProjectRoot for empty path and root-level paths with clear error messages. (2) Changed ActiveWorkbook to ThisWorkbook. (3) Added columnCount, columnHeaders array, entityCount, timeHorizon to manifest.json. (4) ImportDetailFromCsv now validates CSV column count vs config, warns on mismatch, uses larger count to avoid truncation, and restores CSV headers. (5) Added On Error GoTo handlers with file handle cleanup to all 4 export subs. (6) Added error handling to EnsureDirectoryExists with descriptive error message.","AP-04,AP-45,AP-46","Phase 11B","2026-03-29"
"BUG-075","Formula tabs fail with Type mismatch on bootstrap (E-800)","ResolveRowID reads column A of referenced tabs into a Variant via Range.Value. When the tab has 0-1 rows of data (e.g. QuarterlySummary which is kernel-generated and empty during bootstrap), Range.Value returns a scalar, not a 2D array. Indexing a scalar as colData(r,1) causes VBA Error 13 Type mismatch. Affects both sample and insurance configs since both reference QuarterlySummary which is not a formula tab.","Ensured the range read always spans at least 2 rows (readToRow = max(lastRow,2)) so VBA always returns a 2D array. The extra empty row is harmless -- skipped by the Len(cellVal)>0 check.","","Phase 11B","2026-03-29"
"BUG-077","Formula tab annual total columns incomplete for quarterly Input and Balance cells","KernelFormula.bas writes quarterly Input values across Q1-Q4 but leaves the annual total column blank. For Balance formulas using {PREV_Q:self}, the annual column blindly resolves the rolling formula which references blank input cells. For Flow formulas using cross-ref {PREV_Q:}, the annual column shows only Q4-based value instead of annual total.","Three fixes: (1) Quarterly Input cells now write =SUM(Q1:Q4) in annual column with grey shading and format. (2) Self-referencing {PREV_Q:} formulas (Balance) use =Q4_col (EOP) in annual column. (3) Cross-referencing {PREV_Q:} formulas without IFERROR (Flow) use =SUM(Q1:Q4) in annual column. Formulas without {PREV_Q:} resolve at annual column (current behavior preserved for ratios and row references).","AP-06","Phase 11B","2026-03-30"
"BUG-076","QuarterlySummary missing formulas for single-operand derived columns","Ins_QuarterlyAgg.AggregateToQuarterly uses ParseSimpleRule to parse derivation rules. Single-operand copy rules (e.g. C_ClsCt='G_ClsCt') have no operator, so ParseSimpleRule returns False and the metric section is skipped entirely. This cascades: Net derived columns like N_ClsCt='G_ClsCt - C_ClsCt' cannot find the C_ClsCt total row, so their formulas also fail silently. Affects C_ClsCt, C_OpenCt, C_RptCt, C_UltCt, C_IBNRCt, C_UnclosedCt and all corresponding Net columns.","Added isCopyRule branch: when ParseSimpleRule fails but the rule is a valid column name (ColIndex > 0), treat as single-operand copy. Copy formulas reference the source column's rows directly (=<col><sourceRow>). All entity rows, total rows, annual totals, and tail columns handled for both copy and two-operand rules.","","Phase 11B","2026-03-29"
"BUG-079","CFS {PREV_Q:} resolves to annual total column instead of Q4 of prior year","ResolveFormulaPlaceholders resolves {PREV_Q:RowID} as col-1. The quarterly column layout has annual total columns every 5th position (Q1,Q2,Q3,Q4,YearTotal). At Q1 of years 2-5 (e.g. col H=8), col-1 is the annual total column (col G=7), not Q4 of the previous year (col F=6). CFS change-in-balance formulas (like Change in Loss Reserves) incorrectly compute Q1Y2 minus Y1Total instead of Q1Y2 minus Q4Y1.","Added annual total column detection in {PREV_Q:} resolution. If col-1 falls on an annual total column ((col-1-QS_DATA_START_COL) Mod QS_COLS_PER_YEAR = QS_QUARTERS_PER_YEAR), skip back one more to reach Q4 of the prior year. Affects all formula tabs using {PREV_Q:} placeholders.","","Phase 11B","2026-03-30"
"BUG-078","FinancialSummary tab created for insurance config despite not being registered","KernelBootstrap.bas had hardcoded EnsureSheet TAB_FINANCIAL_SUMMARY in the required-tabs section. FinancialSummary is a sample-domain formula tab, not a required kernel tab. For insurance config (which has its own FM tabs), this creates an empty orphan tab.","Removed the hardcoded EnsureSheet TAB_FINANCIAL_SUMMARY call from KernelBootstrap. Tab is already created via tab_registry loop when present in config_sample/tab_registry.csv. Insurance config has no tab_registry entry, so the tab is correctly not created.","AP-51","Phase 11B","2026-03-30"
"BUG-081","Excel crashes on workbook open -- OFFICE_MODULE_VERSION_MISMATCH between PERSONAL.XLSB and RDK VBA project","Root cause: Office 16.0.19822.20086 has internal DLL version mismatch (pending update to 20114). Loading two VBA projects simultaneously (PERSONAL.XLSB from XLSTART + RDK's 30-module project) triggers access violation (0xc0000005) in EXCEL.EXE. Single VBA project loads fine. Contributing factors: (1) Bootstrap.ps1 force-kill left crash sentinels. (2) AP-06 em dash in InsuranceDomainEngine.bas. (3) Workbook_Open health check created COM objects during open.","Six fixes: (1) OpenRDK.cmd launcher temporarily disables PERSONAL.XLSB during Excel startup then restores it -- workaround until Office update. (2) Bootstrap.ps1 switched to graceful $excel.Quit(). (3) Bootstrap.ps1 cleans AutoRecover files. (4) Fixed AP-06 em dash. (5) Removed InjectWorkbookOpen. (6) Added FullExcelClean.ps1 and CleanResiliency.ps1. Permanent fix: apply Office update 20086->20114.","AP-06,AP-54","Phase 11B","2026-03-30"
"BUG-080","Tail column generated on all quarterly formula tabs instead of UW Exec Summary only","KernelFormula.bas generated tail columns (development beyond writing horizon) on every quarterly formula tab that had a grand total column. Tail data is only meaningful on UW Exec Summary; other tabs (Income Statement, CFS, Expense Summary) should not show it.","Added wantsTail flag at tab level: True only when tabName='UW Exec Summary'. Gate tail formula generation (qsDataYears > numYears And wantsTail) and tail header generation (writeTail parameter on WriteQuarterlyHeaders). Grand total column still generated for all qualifying tabs.","","Phase 11B","2026-03-30"
"BUG-082","Safe mode prompt when user double-clicks RDK_Model.xlsm after Setup -- UX gap plus stuck PERSONAL.XLSB","Two issues: (1) Setup.bat prints 'Use OpenRDK.cmd' but users naturally double-click the .xlsm. Office 16.0.19822.20104 still has the dual-VBA-project DLL mismatch (BUG-081). Double-click loads PERSONAL.XLSB alongside RDK's 30-module project, causing access violation and safe mode sentinel. (2) OpenRDK.cmd renamed PERSONAL.XLSB to .rdk_bypass but lacked interrupt protection -- if interrupted (Ctrl+C, window close), PERSONAL.XLSB stays stuck renamed.","Four fixes: (1) Setup.bat now prompts 'Open workbook now? [Y/n]' and calls OpenRDK.cmd directly. (2) OpenRDK.cmd restores stuck .rdk_bypass from prior interrupted runs. (3) Bootstrap.ps1 conditional module import (PT-031) reduces VBA project from 30 to 27 modules for sample config. (4) OpenRDK.cmd verifies rename succeeded and prints manual restore instructions if it fails.","AP-54","Phase 11B","2026-03-30"
"BUG-083","Excel crash persists after conditional import -- corrupt COM stubs and startup overload","Conditional import (BUG-082 fix 3) reduced modules from 30 to 27 but crash persisted. Diagnosis found 4 corrupt HKCU COM add-in stubs (PDFMaker, SNL, SPGMI, VS15ExcelAdaptor) with no Manifest/FriendlyName overriding proper HKLM registrations. PDFMaker stub changed LoadBehavior from 2 (demand) to 3 (startup), adding an extra startup load. Combined with S&P Cap IQ (2 COM add-ins + 3 XLA/UDF add-ins) + PERSONAL.XLSB + RDK's 27-module project = 8 items competing for Excel startup. Total startup load exceeded Excel's stability threshold.","Three root-cause fixes (resolved -- double-click works): (1) Moved PERSONAL.XLSB from XLSTART to PERSONAL_BACKUP (eliminates dual-VBA-project conflict). (2) Created CleanComStubs.ps1 to remove incomplete HKCU stubs that override HKLM registrations. (3) Bootstrap.ps1 finally block already cleans stubs post-run. OpenRDK.cmd workaround removed after root-cause fixes proved sufficient.","AP-54","Phase 11B","2026-03-31"
"BUG-084","Ceded count columns include CAT claims -- should be QS-subject (Attr+Seas) only","column_registry.csv defined C_ClsCt, C_OpenCt, C_RptCt, C_UltCt, C_IBNRCt, C_UnclosedCt as Derived with copy rules (e.g. C_ClsCt=G_ClsCt). The kernel copied 100% of gross counts (including CAT layer) to ceded, regardless of QS treaty scope. This made N_ClsCt = G_ClsCt - C_ClsCt = 0 always, and net count columns showed zero claims even though CAT claims should be net-retained.","Changed 6 ceded count columns from Derived to Incremental in config_insurance/column_registry.csv. InsuranceDomainEngine.WriteOutputs now writes ceded counts directly from m_qsCls, m_qsRpt, m_qsCntUlt arrays (which exclude CAT per lyr<=2 filter in DevelopLosses). Flow counts use Inc() helper; Balance counts use EOP(cm)-EOP(cm-1) pattern. Tail closure row closes QS-subject open counts only.","AP-08","Phase 11B","2026-03-31"
"BUG-085","INV_Q_POOL uses gross reserves and gross UPR -- overstates investable pool by ceded portion","Investable pool formula referenced UWEX_GRSV + UWEX_GUPR. Under QS cession the carrier does not invest the ceded float -- the reinsurer does. Pool should use net values.","Changed INV_Q_POOL to use UWEX_NRSV + UWEX_NUPR. Added UWEX_NUPR row to UW Exec Summary (= Gross UPR - Ceded UPR). Added UWEX_Q_NUPR named range.","(actuarial)","Phase 11B","2026-03-31"
"BUG-086","Save Snapshot fails on insurance config -- Subscript out of range on Inputs tab","KernelSnapshot.ExportInputsToFile, ImportInputsFromCsv, and DetectEntityCount all reference TAB_INPUTS (=Inputs). Insurance config renamed this tab to Assumptions in tab_registry.csv. The Inputs tab does not exist in the insurance workbook, causing Error 9 (Subscript out of range) which surfaces as E-899 Save error.","Added GetInputsSheet() helper to KernelSnapshot.bas that tries TAB_INPUTS first, falls back to TAB_ASSUMPTIONS. Replaced all 3 hardcoded ThisWorkbook.Sheets(TAB_INPUTS) calls with GetInputsSheet().","AP-45","Phase 11B","2026-03-31"
"BUG-087","Investments liquidity floor ignored when floor exceeds allocation-based liquid amount","INV_Q_INVESTED formula was MAX(Pool*InvestPct, Pool-Floor). When Floor was large, Pool-Floor went negative and MAX picked Pool*InvestPct, making Liquid=Pool*LiquidPct which ignored the floor entirely. Invested assets were over-allocated at the expense of the liquidity requirement.","Reversed solve order: Liquid Cash = MIN(Pool, MAX(Floor, Pool*LiquidAlloc%)) computed first, then Invested = MAX(0, Pool-Liquid). Floor is always respected. MIN(Pool,...) cap ensures Liquid+Invested=Pool identity holds even when Floor>Pool.","","Phase 11B","2026-03-31"
"BUG-088","Expense Summary Grand Total column produces garbage for COLUMN()-based growth formulas","KernelFormula.bas Grand Total logic had two branches: (1) has {REF:} and NOT {ROWID:} -> SUM of annual totals, (2) Else -> resolve formula at GT column. COLUMN()-based formulas (no placeholders) fell into branch 2, making COLUMN() return a GT column index that computed a hypothetical Y6 quarter instead of summing actuals.","Split Else branch into three: (a) has {ROWID:}/{PREV_Q:} -> resolve at GT column (ratios/cumulative), (b) pure {REF:} or no placeholders -> SUM of annual totals. COLUMN()-based formulas now correctly sum.","","Phase 11B","2026-03-31"
"BUG-089","Balance Sheet check not zero -- investable pool proxy formula missed multiple BS items","INV_Q_POOL was NRSV + NUPR + CAP_EQ_CUMUL, a proxy that excluded debt, tax payable, retained earnings, and other liabilities. This meant Cash+Invested did not equal Total L&E minus non-cash assets, causing BS_CHECK = Total_A - Total_LE to be nonzero.","Two-part fix: (1) Added BS_CUPR (Ceded UPR) as a BS asset row; (2) Changed INV_Q_POOL to BS-derived residual = BS_TOTAL_LE - BS_AR - BS_RI_RECV - BS_CUPR - BS_OTHER_A, guaranteeing balance by construction. Circular reference eliminated separately in BUG-090.","","Phase 11B","2026-03-31"
"BUG-090","BS-derived investable pool creates circular reference requiring Application.Iteration","INV_Q_POOL references BS_TOTAL_LE which includes RE which includes Net Income which includes Investment Income which depends on Pool. AVERAGE-based income formulas (AVERAGE(prev,current)*yield/4) reference current-quarter balances, completing the circle. Application.Iteration worked but caused user confusion and slower recalc.","Changed all income and interest formulas from AVERAGE(prev,current) to BOQ (prior quarter only): INV_Q_INC_INV, INV_Q_INC_LIQ, CAP_SN_INT, CAP_OD_INT. Prior-quarter values are already determined so no circularity. Q1 income/interest = 0. Removed Application.Iteration from KernelBootstrap.bas.","","Phase 11B","2026-03-31"
"BUG-091","Grand Total column empty for Input rows on quarterly tabs with GrandTotal=TRUE","KernelFormula.bas INPUT case block had annual total SUM handling but no Grand Total column handling. The Grand Total SUM-of-annual-totals logic was only in the FORMULA case block. Input rows on ORD and SWI tabs had empty GT cells, causing Formula total rows referencing them to evaluate to 0.","Added Grand Total column handling to the INPUT block in KernelFormula.bas: SUM of annual total columns, matching the Formula block pattern. Uses unique variable names (inGtCol, inGtFormula, inGtYr, inAnnTotCol) to avoid VBA scope collisions.","","Phase 12A","2026-03-31"
"BUG-092","CFS cash reconciliation nonzero: CFS_E_POOL double-counts invested assets","CFS_E_POOL was defined as BS_CASH + BS_INVEST (total pool), but CFI already included the change in invested assets. BOQ started from Cash+Invest, then CFI subtracted delta-Invest again, so the reconciliation check (EOQ - Pool) was nonzero by Invest(t-1) - Invest(t).","Renamed CFS_E_POOL to CFS_E_CASH, changed formula from BS_CASH+BS_INVEST to BS_CASH only. CFS now reconciles to cash, with investment movements properly captured in CFI. Updated CFS_BOQ_CASH and CFS_CHECK to reference CFS_E_CASH.","","Phase 12A","2026-03-31"
"BUG-093","CFS cash reconciliation nonzero: interest expense double-counted in CFO and CFF","IS_NETINC already includes interest expense (IS_PRETAX = OpInc - IntExp). CFS_INT_PAID in CFF subtracted interest a second time. Interest reduced cash twice: once through NI in CFO, once explicitly in CFF.","Removed CFS_INT_PAID from CFF section. Interest expense flows naturally through NI into CFO. Updated CFS_CFF formula to EQ_RAISE + DEBT_NET only. Consistent with US GAAP indirect method where interest is an operating item.","","Phase 12A","2026-03-31"
"BUG-094","CFS cash reconciliation nonzero: missing Ceded UPR (Prepaid Reinsurance) working capital adjustment","BS_CUPR (Ceded UPR / Prepaid Reinsurance) is a balance sheet asset that changes period-over-period, but had no corresponding CFS working capital adjustment in CFO. Changes in this asset were unaccounted for in the cash flow statement.","Added CFS_D_CUPR in CFO section (Change in Prepaid Reinsurance = PREV_Q - current, asset sign convention) and CFS_E_CUPR echo in Supporting Calculations (= BS_CUPR). Added CFS_D_CUPR to CFS_CFO total formula.","","Phase 12A","2026-03-31"
"BUG-095","UWEX_GUPR and UWEX_NUPR compute quarterly change instead of ITD balance","UWEX_GUPR was GWP-GEP (quarterly delta) and UWEX_NUPR was GUPR-(CWP-CEP) (also quarterly delta). Both should be cumulative end-of-quarter balances since they feed BS_UPR and BS_CUPR which are balance sheet items. Without prior-quarter carry-forward, the BS showed only QTD change, not a true UPR balance.","Changed UWEX_GUPR to PREV_Q(UWEX_GUPR)+GWP-GEP and UWEX_NUPR to PREV_Q(UWEX_NUPR)+NWP-NEP. Both now accumulate from prior quarter. Q1 starts from 0 (PREV_Q returns 0 for first period). BS_UPR and BS_CUPR now correctly show ITD balances.","","Phase 12A","2026-03-31"
"BUG-096","Quarterly header detection includes static Formula cells, placing headers in wrong row","KernelFormula.bas header row detection (line 506) treated ALL Formula cells as quarterly regardless of Col value. Only Input cells required non-numeric Col check. Tabs with static Formula cells (Staffing Expense, Other Expense Detail, Sales Funnel, Investments) got headers placed at the first static Formula row instead of the first quarterly (Col=C) row. On Staffing Expense, this overwrote row 11 (HC Other) data with header text, causing #VALUE cascade through EXP -> IS -> BS -> INV.","Applied non-numeric Col check to both Formula and Input cell types in isQtrCell condition. Now only cells with Col=C are counted as quarterly for header placement. Fixes 4 affected tabs.","AP-08","Phase 12B","2026-04-01"
"BUG-097","Column A hidden on system tabs (ErrorLog, Config, etc.) that should retain visible column A","AutoFitAllOutputTabs column A hiding loop iterated ALL worksheets including hidden system tabs. Hidden tabs (Config, ErrorLog, TestResults, Summary, ProveIt, Exhibits, Charts, CumulativeView, Analysis) should not have column A hidden since they may use it for data or debugging.","Added ws.Visible = xlSheetVisible check to column A hiding loop so only user-visible tabs get column A hidden.","","Phase 12B","2026-04-01"
"BUG-098","Missing Premiums Payable (Reinsurance) liability on Balance Sheet drains investable pool","BS_AR = GWP*0.5 creates premium receivable as an asset deducted from investable pool, but BS_AP = 0 had no offsetting liability for premiums payable to reinsurers. This caused pool to be drained by GROSS written premium lag rather than NET, shrinking investable pool and cash even after profitable quarters.","Changed BS_AP from =0 to =-UWEX_CWP*0.5 (positive liability since UWEX_CWP is negative after PD-05). Pool drag is now net written premium * 0.5 instead of gross. CFS working capital (CFS_D_AP) automatically picks up the change. Renamed label to Premiums Payable (Reinsurance).","","Phase 12B","2026-04-01"
"BUG-099","Y5 Written Premium truncated on UW Exec Summary - short-tail programs output zero for months 49-60","WriteOutputs loop bounded by m_devEnd(p) which is set from curve MaxAge. Property programs with MaxAge=36 had m_devEnd=36, so months 37-60 were never written to the Detail tab. SpreadPremium correctly computed all 60 months of premium, but WriteOutputs truncated output at pDevEnd. Result: Y5 WP showed 141m instead of 296m (only long-tail programs contributed Y5 data).","Added floor check after curve MaxAge computation: If maxDevEnd < m_horizon Then maxDevEnd = m_horizon. This ensures all premium months (1 to m_horizon) are always output regardless of curve development length. Loss development beyond horizon still works as before for long-tail programs.","AP-45","Phase 12B","2026-04-01"
"BUG-100","BUG-099 fix ineffective: m_horizon=0 when LoadCurveParams runs during Initialize","m_horizon is set in Execute() (line 306) but LoadCurveParams runs during Initialize() (line 127). At Initialize time m_horizon=0 (VBA default), so the BUG-099 floor check (If maxDevEnd < m_horizon) is a no-op. Property programs with short curves (MaxAge<49) still get devEnd<49, producing no Y5 Detail rows. SUMIFS on QuarterlySummary returns 0 for those programs in Y5. Only Casualty programs (MaxAge>=120) showed Y5 data.","Set m_horizon from KernelConfig.GetTimeHorizon() at the start of Initialize(), before ReadUWInputs and LoadCurveParams. Now devEnd floor check in LoadCurveParams sees m_horizon=60 and correctly enforces devEnd>=60 for all programs.","AP-45","Phase 12B","2026-04-01"
"BUG-101","Tail column on UW Exec Summary loses PD-05 negation prefix for ceded cross-tab references","KernelFormula.bas line 452 hand-crafted the Tail formula as ='Tab'!cell, discarding the content prefix/suffix. For content like =-{REF:QuarterlySummary!QS_CQ_WP_TOTAL}, the =- negation was lost. Quarterly columns used ResolveFormulaPlaceholders which preserved the prefix. Affected 5 rows: UWEX_CWP, UWEX_CEP, UWEX_CLLAE, UWEX_CEDCOMM, UWEX_GFFE. Their Tail values showed positive instead of negative.","Replaced hard-coded ='Tab'!cell with prefix-preserving construction: extract Left(content, refStart-1) as prefix and Mid(content, refEnd+1) as suffix, reconstruct as prefix + quotedTab + ! + col + row + suffix. Matches ResolveFormulaPlaceholders behavior. Also handles tab names with spaces (conditional quoting).","","Phase 12B","2026-04-01"
"BUG-102","Staffing Expense annual/GT totals wrong: multiplicative formula resolved with summed operands","KernelFormula.bas annual total Else branch resolved all non-{PREV_Q:} {ROWID:} formulas at the annual column position. For multiplicative formulas like HC*Sal/4*(1+BenefitsFactor), this multiplied summed operands (e.g. annual HC=4x, annual Sal=4x, annual Factor=4x0.30=1.20) producing grossly inflated totals. Same issue at Grand Total column. Only ratio (IFERROR) formulas need resolve-at-annual for correct weighted averages.","Split annual total and GT logic: IFERROR formulas still resolve at annual/GT column (correct weighted ratios). All other {ROWID:} formulas (additive and multiplicative) use SUM(Q1:Q4) for annual and SUM(annual totals) for GT. For additive formulas the result is identical; for multiplicative formulas it correctly sums already-computed quarterly values.","","Phase 12B","2026-04-01"
"BUG-103","Triangle SUMIFS matched $B (quarter label) instead of program name - all zeros","SUMIFS entity criteria referenced $B{row} which contains Q1Y1 etc., but Detail EntityName column has program names like Base Case GL. Every SUMIFS returned 0 because no entity matched.","Write program name in hidden col A for each data row. SUMIFS now references $A{row} for entity match. Also moved Ult column under % header and added spacer column between dollar and % sections.","","Phase 12B","2026-04-02"
"BUG-104","Triangle SUMIFS cannot isolate exposure quarter cohorts from Detail tab","Detail tab grain is (Program, CalendarMonth) with G_Paid aggregated across ALL exposure months. Triangle SUMIFS on CalPeriod range picks up loss development from prior exposure quarters mixed into later calendar months. Q2Y1 DQ1 showed 46k instead of ~10k because it included Q1Y1 exposure months developing at ages 3-6. SUMIFS approach is structurally incompatible with exposure-cohort triangles.","Reverted to VBA-computed values using per-exposure-month ultimates (m_ultMon) and direct curve evaluation (EvaluateCurve with DE-08 offset). Each triangle cell now correctly isolates its exposure quarter cohort by looping ep = epStart to epEnd and evaluating CDF at the correct development age. Dollar amounts and % of ultimate both computed in VBA. UW Exec Summary and QuarterlySummary confirmed correct (calendar-quarter financial view, not cohort view).","AP-45","Phase 12B","2026-04-02"
"BUG-105","Ultimates computed from EP instead of WP causing unequal exposure quarter cohorts","ComputeUltimates used m_epMon (earned premium per calendar month) as the exposure base for m_ultMon. Due to mid-month earning assumption with 12-month terms, EP ramps up over months 1-13 then stabilizes. Q1Y1 EP=125k while Q1Y2 EP=1M, producing different ultimates (25k vs 200k) despite identical 1M written premium. Ultimates should not develop -- they should be locked at WP x ELR when premium is written.","Changed m_ultMon(p,lyr,ep) = m_wpMon(p,ep) * elr (was m_epMon). WP-based m_ultMon drives loss development curves and IBNR/Unpaid reserves. Added parallel EP-based arrays (m_cumEpUlt, m_qsEpUlt) for G_Ult and C_Ult on the Detail tab (financial statement view: loss = EP x ELR). Balance sheet reserves (IBNR, Unpaid) continue to use WP-based m_cumUlt (full exposure base). Tail closure row uses WP-based cumulative to force paid=ultimate. DE-10 locked.","","Phase 12B","2026-04-02"
"BUG-106","Subscript out of range in DevelopLosses: m_epUltMon accessed beyond MAX_HORIZON","m_epUltMon and m_epMon are dimensioned (1 To 10, 1 To 120) matching MAX_HORIZON. DevelopLosses loops cm = 1 To devHorizon where devHorizon can reach MAX_DEV_ENDPOINT (480) for long-tail programs. When cm > 120, m_epUltMon(p, cm) causes subscript out of range. No new EP or EP-based ultimate exists beyond the writing horizon.","Added ElseIf cm <= m_horizon branch. For cm > m_horizon (run-off period), carry forward the prior cumulative value unchanged. Same fix applied to m_cumEP, m_cumEpUlt, and m_cumEpCntUlt.","","Phase 12B","2026-04-02"
"BUG-107","Ins_Tests crashes entire suite on first error: no per-group error handling","RunInsuranceTests had On Error GoTo ErrHandler at the top but individual test subs (TestReserveIdentities, TestCrossTabReconciliation, etc.) had no error handling. Any CDbl on a formula cell returning an error value or any missing tab/row crashed the entire suite with Application-defined or object-defined error, logging E-380 and aborting all remaining tests.","Wrapped each test group call in On Error Resume Next with per-group error capture. If a group fails, the error is logged as a FAIL result and the next group runs. CDbl errors on formula cells are caught at the caller level rather than crashing the suite.","AP-46","Phase 12B","2026-04-02"
"BUG-108","Ins_Tests E-380 persists despite per-group error wrapping","On Error GoTo ErrHandler was re-engaged at line 63 after the test group calls. Errors in the summary block (lines 66-73) or from On Error GoTo itself triggered the ErrHandler which logged E-380. The mixed GoTo/Resume Next pattern created unreliable error state.","Changed entire RunInsuranceTests to On Error Resume Next throughout. Removed all On Error GoTo ErrHandler transitions. Every operation is protected by Resume Next. Errors in individual test groups are caught and logged as FAIL results without triggering the global error handler.","AP-46","Phase 12B","2026-04-02"
"BUG-109","Ins_Tests references old Triangles tab name after rename to Loss Triangles","TestTriangleCohortIsolation and TestTriangleOrdering referenced ThisWorkbook.Sheets(Triangles) but the tab was renamed to Loss Triangles. Both tests failed with tab not found, producing 2 FAIL results and triggering E-210 pipeline error.","Updated all 3 references from Triangles to Loss Triangles in Ins_Tests.bas.","","Phase 12B","2026-04-02"
"BUG-110","Curve library loader hardcoded 16 columns but schema expanded to 21","LoadCurveLibraryConfig passed 16 to LoadSection2D but the 5-point anchor schema has 21 columns. Columns 17-21 (MaxAge_TL25 through Description) were never loaded. GetCurveLibraryField bounds check also capped at col<=16. Result: MaxAge interpolation used defaults (120) instead of calibrated values (240). Curve ordering tests may have failed due to incorrect parameter resolution.","Changed LoadSection2D column count from 16 to 21. Changed GetCurveLibraryField bounds check from col<=16 to col<=21.","","Phase 12B","2026-04-02"
"BUG-111","Balance sheet $2023 imbalance from dual EP/WP ultimate basis","BUG-105 introduced EP-based G_Ult (m_cumEpUlt) for Detail tab while IBNR/Unpaid reserves used WP-based m_cumUlt. IS accumulated EP-based losses into Retained Earnings while BS Loss Reserve held WP-based reserves. During ramp-up EP lags WP so cumulative EP-ult < WP-ult. The difference ($2023) appeared as BS imbalance.","INITIAL FIX WAS WRONG: Reverted to WP-based which broke IS losses. Superseded by BUG-112.","","Phase 12B","2026-04-02"
